px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.60715	-7.22158	-2.82174	2.19821	0.138641	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.637773
8.71487	-7.34224	-2.89019	2.23424	0.202045	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.07701
8.77347	-7.48856	-2.90302	2.19924	0.135975	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.724285
8.83715	-7.61506	-2.83312	2.16942	0.0597455	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.92786
8.8979	-7.75557	-2.82662	2.1436	0.017395	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.415435
8.97498	-7.8755	-2.83424	2.14616	0.0229779	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.167184
9.0178	-8.01692	-2.83517	2.106	-0.0368122	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.629379
9.05271	-8.14746	-2.75491	2.05028	-0.144158	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.17415
9.10534	-8.27735	-2.73871	2.03114	-0.160775	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.422276
9.17801	-8.40149	-2.76265	2.03998	-0.125538	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.688638
9.20941	-8.53987	-2.76216	1.99962	-0.174236	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.505604
9.23968	-8.67831	-2.71257	1.94456	-0.266356	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.53436
9.28189	-8.80858	-2.69597	1.92448	-0.274938	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.365904
9.42853	-8.93532	-2.83984	2.0618	0.0342912	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	33.3731
9.4706	-9.08947	-2.86422	2.02784	-0.015304	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.708757
9.51203	-9.2154	-2.82559	1.99742	-0.0762621	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.17853
9.55981	-9.34863	-2.8267	1.98234	-0.0922959	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.0544702
9.59497	-9.47562	-2.79567	1.95042	-0.146979	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.41708
9.6093	-9.62617	-2.80494	1.90078	-0.207082	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.70808
9.67311	-9.7617	-2.83364	1.91765	-0.150582	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.29085
9.69223	-9.91171	-2.84337	1.87754	-0.196472	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.431903
9.70422	-10.0577	-2.79997	1.81849	-0.2942	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.16474
9.7458	-10.1899	-2.77983	1.81339	-0.279608	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.339383
9.78057	-10.3273	-2.78263	1.79935	-0.281663	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.498901
9.79114	-10.4699	-2.78622	1.76475	-0.310233	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.203381
9.83296	-10.6189	-2.80091	1.77184	-0.258681	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	1.0704
9.85967	-10.7665	-2.79588	1.75597	-0.261252	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.0345797
